playerId,playerName,position,team,nationality,season,expectedAssists,totalRedCards,catches,savesMadeFromOutsideBox,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,timePlayed,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,punches,expectedGoalsOnTargetConceded,successfulLaunches,totalClearances,goalsConceded,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,duelsLost,penaltiesSaved,unsuccessfulShortPasses,successfulLayoffs,penaltiesFaced,aerialDuelsLost,penaltiesConceded,putthroughBlockedDistribution,savesFromPenalty,penaltyGoalsConceded,keyPassesAttemptAssists,groundDuelsLost,putthroughBlockedDistributionWon,timesTackled,totalFoulsConceded,interceptions,foulAttemptedTackle,successfulCrossesOpenPlay,expectedGoalsFreekick,blockedShots,overruns,totalTackles,totalShots,throughBalls,goalAssists,unsuccessfulCrossesOpenPlay,offsides,oboxBlocked,substituteOn,cornersTakenInclShortCorners,successfulCrossesAndCorners,successfulCornersIntoBox,totalTouchesInOppositionBox,throwInsToOppositionPlayer,shotsBlockedInBox,tacklesLost,lastPlayerTackle,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,freekickTotal,iboxBlocked,shotsOffTargetIncWoodwork,cornersWon,tacklesWon,successfulDribbles,blocks,attemptsFromSetPieces,unsuccessfulCornersIntoBox,backwardPasses,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,expectedGoals,shotsOnTargetIncGoals,expectedGoalsOnTarget,iboxTarget,shotsOnTargetInBox,goals,awayGoals,shotsOnTargetOutsideBox,homeGoals,oboxTarget,rightFootGoals,leftFootGoals,headedGoals,hitWoodwork,clearancesOffTheLine,unsuccessfulLayoffs,ownGoalScored,handballsConceded,otherGoals,secondGoalAssists,foulWonPenalty,penaltiesTaken,penaltyGoals
67089,Martin Dúbravka,Goalkeeper,Burnley,Slovakia,2024-25,0.0041,0.0,7.0,11.0,10.0,10.0,67.0,278.0,59.0,1.0,4.0,5.0,900.0,5.0,2.0,1.0,182.0,2.0,12.7106,5.0,5.0,12.0,74.0,29.0,1.0,0.0,5.0,1.0,114.0,79.0,10.0,3.0,14.0,10.0,1.0,4.0,0.0,89.0,188.0,68.0,24.0,5.0,90.0,29.0,380.0,35.0,197.0,18.0,0.0,67.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111452,Odysseas Vlachodimos,Goalkeeper,Newcastle United,Greece,2024-25,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98747,Nick Pope,Goalkeeper,Newcastle United,England,2024-25,0.0101,0.0,37.0,31.0,28.0,28.0,205.0,590.0,187.0,1.0,16.0,8.0,2520.0,16.0,3.0,2.0,306.0,21.0,35.244,27.0,53.0,35.0,125.0,88.0,5.0,0.0,20.0,2.0,316.0,241.0,28.0,2.0,57.0,32.0,4.0,14.0,0.0,305.0,321.0,208.0,74.0,32.0,149.0,79.0,975.0,111.0,328.0,56.0,2.0,200.0,29.0,4.0,1.0,5.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19236,John Ruddy,Goalkeeper,Newcastle United,England,2024-25,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77794,Kieran Trippier,Defender,Newcastle United,England,2024-25,1.4549,0.0,,,25.0,14.0,152.0,1038.0,1.0,,38.0,2.0,1308.0,75.0,3.0,53.0,852.0,,17.4478,11.0,42.0,18.0,66.0,,11.0,0.0,132.0,,396.0,68.0,25.0,,482.0,15.0,94.0,22.0,0.0,1.0,982.0,244.0,,,410.0,34.0,1427.0,20.0,428.0,,1.0,43.0,39.0,57.0,,109.0,1.0,,16.0,,24.0,,1.0,19.0,41.0,8.0,12.0,16.0,12.0,12.0,3.0,0.0764,2.0,1.0,38.0,2.0,3.0,3.0,22.0,2.0,1.0,11.0,62.0,24.0,20.0,13.0,7.0,1.0,17.0,1.0,4.0,58.0,2.0,1.0,2.0,10.0,21.0,4.0,3.0,2.0,30.0,166.0,126.0,12.0,1.0,0.1241,,,,,,,,,,,,,,,,,,,,,,
220237,Sven Botman,Defender,Newcastle United U21,Netherlands,2024-25,0.2291,0.0,,,8.0,6.0,26.0,245.0,,,28.0,1.0,414.0,34.0,1.0,17.0,212.0,,6.1409,,25.0,4.0,67.0,,4.0,0.0,52.0,,77.0,14.0,8.0,,72.0,3.0,24.0,17.0,0.0,,238.0,33.0,,,93.0,7.0,315.0,3.0,147.0,,1.0,7.0,13.0,18.0,,19.0,,,11.0,,1.0,,,2.0,7.0,1.0,2.0,5.0,5.0,,,,3.0,,12.0,2.0,1.0,,,,,2.0,,,,11.0,,3.0,3.0,1.0,1.0,,,3.0,,3.0,9.0,1.0,4.0,,,8.0,1.0,5.0,,0.587,2.0,1.2731,2.0,2.0,,,,,,,,,,,,,,,,,,
119471,Fabian Schär,Defender,Newcastle United,Switzerland,2024-25,1.0292,1.0,,,34.0,33.0,301.0,1942.0,,,134.0,10.0,2937.0,115.0,5.0,56.0,1503.0,,40.5468,10.0,133.0,42.0,410.0,,15.0,0.0,251.0,,759.0,134.0,34.0,,550.0,37.0,117.0,59.0,1.0,,1877.0,344.0,,,703.0,138.0,2361.0,78.0,1092.0,,9.0,174.0,85.0,136.0,,127.0,1.0,,75.0,,21.0,,1.0,5.0,61.0,13.0,9.0,35.0,45.0,15.0,1.0,0.3796,12.0,,36.0,28.0,4.0,,12.0,4.0,7.0,1.0,,1.0,,47.0,2.0,5.0,15.0,3.0,3.0,12.0,5.0,5.0,17.0,11.0,21.0,8.0,26.0,5.0,,70.0,12.0,3.0,7.0,3.7954,11.0,3.5466,4.0,4.0,4.0,2.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,,,,,,,,,
101148,Jamaal Lascelles,Defender,Newcastle United,England,2024-25,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169359,Matt Targett,Defender,Newcastle United U21,England,2024-25,0.0764,0.0,,,2.0,,1.0,14.0,,,,,20.0,,,,13.0,,0.0149,,,,4.0,,,0.0,1.0,,3.0,2.0,2.0,,10.0,,1.0,,0.0,,14.0,1.0,,,5.0,,18.0,,4.0,,0.0,,1.0,1.0,,1.0,,,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
111773,Emil Krafth,Defender,Newcastle United,Sweden,2024-25,0.0348,0.0,,,12.0,2.0,29.0,140.0,,,16.0,,334.0,14.0,,6.0,108.0,,4.1027,1.0,16.0,2.0,18.0,,2.0,0.0,31.0,,68.0,19.0,12.0,,38.0,2.0,15.0,8.0,0.0,,136.0,39.0,,,38.0,3.0,205.0,6.0,74.0,,2.0,7.0,13.0,17.0,,22.0,1.0,,8.0,,5.0,,,1.0,9.0,1.0,3.0,5.0,2.0,2.0,1.0,,1.0,,4.0,,,,1.0,,,10.0,,1.0,,5.0,4.0,1.0,2.0,,1.0,1.0,,1.0,,1.0,2.0,,4.0,,,16.0,12.0,,,0.0285,,,,,,,,,,,,,,,,,,,,,,
